mjd,r,i,g,z,V,u
55696.47297297297,18.032096527830326,18.121557493415843,18.159274873101594,18.224039225023347,17.971925698490466,18.7670010442749
55696.6011011011,18.03591747782437,18.12509639118464,18.16470944905972,18.22680858120035,17.976596969538758,18.774037206051617
55696.729229229226,18.03976097690645,18.12865579935758,18.17018032583489,18.229593917940296,17.981297346431216,18.781127948138007
55696.85735735736,18.04362687371752,18.13223556146983,18.175687414335247,18.232395091696766,17.986026691069444,18.788273378241787
55696.985485485486,18.047515016511998,18.135835520722033,18.18123062448962,18.23521195919787,17.99078486429127,18.795473605140728
55697.11361361361,18.05142525316282,18.13945551998707,18.186809865226444,18.238044377459758,17.995571725858703,18.80272873867583
55697.24174174174,18.055357431165604,18.14309540181607,18.192425044451255,18.24089220379936,18.00038713444507,18.810038889743296
55697.36986986987,18.05931139764227,18.146755008444057,18.198076069023145,18.24375529584686,18.00523094762132,18.81740417028483
55697.497997998,18.06328699934631,18.150434181796843,18.20376284473183,18.246633511559295,18.010103021843207,18.82482469327773
55697.626126126124,18.067284082668984,18.154132763499142,18.209485276276663,18.249526709234676,18.015003212440433,18.832300572728762
55697.75425425426,18.071302493644406,18.157850594881456,18.215243267242528,18.2524347475257,18.019931373603427,18.839831923662288
55697.882382382384,18.075342077955156,18.161587516987517,18.221036720076565,18.25535748545332,18.02488735837095,18.847418862110136
55698.01051051051,18.07940268094005,18.16534337058379,18.22686553606654,18.25829478242214,18.02987101861962,18.855061505103144
55698.13863863864,18.083484147599854,18.169117996167085,18.2327296153166,18.261246498234385,18.03488220505125,18.862759970658725
55698.26676676677,18.08758632260612,18.172911233974986,18.238628856726095,18.26421249310574,18.039920767183258,18.87051437777239
55698.3948948949,18.09170905030647,18.176722923993122,18.24456315796295,18.267192627679016,18.044986553334894,18.87832484640183
55698.52302302302,18.0958521747351,18.1805529059672,18.25053241544409,18.270186763040996,18.05007941061911,18.886191497459894
55698.65115115115,18.100015539620124,18.184401019412128,18.256536524310143,18.273194760737663,18.055199184930924,18.894114452799432
55698.77927927928,18.10419898839296,18.188267103623236,18.262575378403078,18.276216482790193,18.060345720937484,18.90209383520179
55698.90740740741,18.108402364196778,18.192150997686227,18.26864887024146,18.279251791710514,18.065518862067314,18.91012976836186
55699.035535535535,18.112625509897665,18.196052540490108,18.274756890998898,18.28230055051885,18.070718450502024,18.91822237687667
55699.16366366366,18.116868268093626,18.19997157073788,18.280899330479244,18.285362622759283,18.075944327165892,18.926371786229353
55699.291791791795,18.121130481126627,18.20390792695995,18.287076077094476,18.288437872517857,18.08119633171807,18.93457812277609
55699.41991991992,18.125411991091337,18.207861447524895,18.293287017838903,18.29152616443787,18.08647430254145,18.942841513727394
55699.54804804805,18.129712639848833,18.21183197065432,18.29953203826785,18.29462736373891,18.09177807673674,18.951162087135746
55699.67617617617,18.13403226903749,18.215819334435487,18.30581102247313,18.297741336233557,18.097107490113224,18.95953997187692
55699.80430430431,18.138370720085618,18.2198233768355,18.312123853060033,18.300867948345296,18.10246237718133,18.96797529763408
55699.93243243243,18.14272783422347,18.223843935714722,18.31847041112208,18.304007067126108,18.107842571144225,18.97646819487702
55700.06056056056,18.147103452497536,18.22788084884244,18.324850576219667,18.307158560275134,18.11324790389228,18.985018794847115
55700.188688688686,18.151497415784178,18.231933953912126,18.331264226355803,18.310322296157302,18.118678205996073,18.993627229536564
55700.31681681682,18.15590956480289,18.236003088555854,18.337711237951698,18.313498143820983,18.12413330669925,19.002293631667545
55700.444944944946,18.160339740130837,18.24008809036036,18.344191485823124,18.316685973016856,18.12961303391258,19.01101813467092
55700.57307307307,18.16478778221896,18.244188796884327,18.350704843158365,18.31988565421762,18.135117214209696,19.01980087266657
55700.7012012012,18.169253531406483,18.248305045674247,18.357251181493513,18.323097058636385,18.140645672821027,19.02864198043969
55700.82932932933,18.173736827937418,18.25243667428204,18.363830370689623,18.326320058246377,18.14619823362958,19.037541593417558
